sample_id,stem_id,species,water mas,CPg,wc,NF,NSlf,SL,STm,Pbr,Sbr,P:S,SD.PL,SD.SL,SD.P:S,Pendent 1,Pendent 2,Pendent 3,Pendent 4,Pendent 5,Pendent 6,Pendent 7,Pendent 8,Pendent 9,Pendent 10,Spreading 1,Spreading 2,Spreading 3,Spreading 4,Spreading 5,Spreading 6,Spreading 7,Spreading 8,Spreading 9,Spreading 10,P:S1,P:S2,P:S3,P:S4,P:S5,P:S6,P:S7,P:S8,P:S9,P:S10
s6.03.08.li.4,s6.03.08.li.4.3,S.lindbergii,0.4664,0.0288,16.1944,46,178,2.82,0.0446,0.8184,0.9443,0.870368402,0.097453784,0.113634546,0.076234228,0.766,0.832,0.863,0.855,0.815,0.832,0.815,0.745,0.627,1.034,0.95,1.034,1.086,0.874,0.835,0.945,1.065,0.863,0.725,1.066,0.806315789,0.804642166,0.7946593,0.97826087,0.976047904,0.88042328,0.765258216,0.863267671,0.864827586,0.969981238
s6.03.08.li.4,s6.03.08.li.4.4,S.lindbergii,0.6954,0.0406,17.1281,63,245,4.35,0.0852,1.1391,1.1749,0.994272267,0.20585988,0.224639912,0.221103662,1.455,1.504,1.002,1.055,1.375,0.926,1.075,1.025,0.971,1.003,1.265,1.002,1.255,1.354,1.625,1.023,1.354,1.035,1.015,0.821,1.150197628,1.500998004,0.798406375,0.779172821,0.846153846,0.905180841,0.79394387,0.990338164,0.956650246,1.221680877
s6.03.08.li.4,s6.03.08.li.4.5,S.lindbergii,0.5505,0.0311,17.701,48,191,5.49,0.044,0.932,1.1286,0.856049083,0.11957759,0.187852176,0.211023087,0.805,0.958,1.025,0.992,0.895,0.785,1.205,0.935,0.915,0.805,1.075,1.365,1.275,1.225,1.145,1.225,0.992,0.895,0.756,1.333,0.748837209,0.701831502,0.803921569,0.809795918,0.781659389,0.640816327,1.214717742,1.044692737,1.21031746,0.603900975
s6.03.08.li.5,s6.03.08.li.5.1,S.lindbergii,0.2788,0.0199,14.0101,48,182,5.4,0.0422,1.054,1.0717,1.001031513,0.09659296,0.139281765,0.166019043,0.985,1.045,1.245,1.013,0.926,1.12,1.105,1.162,0.947,0.992,1.034,1.291,0.947,1.025,1.055,0.935,1.044,1.275,1.236,0.875,0.952611219,0.809450039,1.31467793,0.988292683,0.877725118,1.197860963,1.058429119,0.911372549,0.76618123,1.133714286
s6.03.08.li.5,s6.03.08.li.5.2,S.lindbergii,0.3307,0.0224,14.7634,52,210,5.58,0.0461,1.1146,1.0862,1.038717868,0.127993906,0.146462828,0.138428043,1.425,1.086,1.152,1.086,1.002,1.035,1.173,1.076,1.185,0.926,1.155,1.312,1.065,1.035,0.821,1.095,1.225,0.884,1.236,1.034,1.233766234,0.827743902,1.081690141,1.049275362,1.22046285,0.945205479,0.95755102,1.21719457,0.958737864,0.895551257
s6.03.08.li.5,s6.03.08.li.5.3,S.lindbergii,0.5015,0.0334,15.015,50,190,5.71,0.0548,1.2282,1.1346,1.086141956,0.18511067,0.1422,0.13484218,1.205,1.291,1.152,1.163,0.798,1.295,1.415,1.173,1.245,1.545,1.135,1.125,0.916,1.013,0.981,1.315,1.131,1.065,1.343,1.322,1.061674009,1.147555556,1.257641921,1.148075025,0.813455657,0.984790875,1.251105217,1.101408451,0.927029039,1.168683812
s6.03.08.li.5,s6.03.08.li.5.4,S.lindbergii,0.4225,0.0314,13.4554,50,193,5.4,0.0605,1.2175,1.0806,1.148169775,0.072103051,0.17032334,0.152922994,1.065,1.235,1.344,1.295,1.255,1.215,1.205,1.215,1.194,1.152,0.925,1.183,1.333,0.884,1.035,1.427,1.065,1.024,0.985,0.945,1.151351351,1.043956044,1.008252063,1.464932127,1.212560386,0.85143658,1.131455399,1.186523438,1.212182741,1.219047619
s6.03.08.li.5,s6.03.08.li.5.5,S.lindbergii,0.2521,0.017,14.8294,47,167,5.4,0.0369,0.921,0.9098,1.035254879,0.106042444,0.158322329,0.178466674,0.675,0.955,0.971,0.992,1.055,0.925,1.013,0.935,0.894,0.795,0.651,1.107,0.735,1.013,0.756,1.097,0.945,1.034,0.995,0.765,1.036866359,0.86269196,1.321088435,0.979269497,1.395502646,0.843208751,1.071957672,0.904255319,0.898492462,1.039215686
s6.03.08.cu.1,s6.03.08.cu.1.1,S.cuspidatum,0.3508,0.0123,28.5203,39,117,3.47,0.0127,0.6936,0.726,0.96538878,0.095078073,0.093134312,0.152051989,0.685,0.625,0.693,0.777,0.755,0.651,0.554,0.845,0.553,0.798,0.724,0.61,0.765,0.703,0.945,0.617,0.685,0.665,0.745,0.801,0.946132597,1.024590164,0.905882353,1.105263158,0.798941799,1.055105348,0.808759124,1.270676692,0.742281879,0.996254682
s6.03.08.cu.1,s6.03.08.cu.1.2,S.cuspidatum,0.2445,0.0082,29.8171,49,137,3.99,0.0168,0.6558,0.7588,0.866887022,0.108495899,0.083415586,0.127640701,0.695,0.595,0.645,0.525,0.811,0.585,0.685,0.465,0.777,0.775,0.815,0.645,0.863,0.725,0.895,0.63,0.765,0.735,0.704,0.811,0.852760736,0.92248062,0.747392816,0.724137931,0.906145251,0.928571429,0.895424837,0.632653061,1.103693182,0.955610358
